Sample,Site,d,D,B
Astfood_3,Site 1,49,90,22.5
Astfood_3,Site 1,44,74,13.3
Astfood_3,Site 1,53,98,22.1
Astfood_3,Site 1,47,85,17.2
Astfood_Z_1,Site 1,58,105,25.3
Astfood_Z_1,Site 1,72,150,45.4
Astfood_Z_1,Site 1,14,23,0.6
Astfood_Z_1,Site 1,14,23,1
Astfood_1,Site 1,11,18,0.4
Astfood_1,Site 1,31,50,5.1
Astfood_1,Site 1,52,96,25.8
Astfood_1,Site 1,44,90,19.9
Astfood_1,Site 1,51,100,23.2
Astfood_1,Site 1,51,113,34.8
Astfood_1,Site 1,13,23,0.8
Astfood_7,Site 1,41,69,11.8
Astfood_7,Site 1,56,102,24.6
Astfood_7,Site 1,54,113,28.8
Astfood_7,Site 1,42,80,16.5
Astfood_6,Site 1,6,18,0.3
Astfood_6,Site 1,15,23,0.9
Astfood_6,Site 1,12,20,0.5
Astfood_6,Site 1,7,11,0.1
Astfood_6,Site 1,8,16,0.2
Astfood_6,Site 1,5,11,0.1
Astfood_5,Site 1,51,92,25.7
Astfood_5,Site 1,39,77,10.1
Astfood_5,Site 1,17,26,1.3
Astfood_5,Site 1,12,21,0.7
Astfood_5,Site 1,12,17,0.4
Astfood_5,Site 1,13,23,0.7
Astfood_5,Site 1,12,22,0.6
Astfood_5,Site 1,16,25,1
Astfood_5,Site 1,7,12,0.1
Astfood_13,Site 1,50,85,26
Astfood_13,Site 1,50,82.5,20.9
Astfood_13,Site 1,50,83,18.7
Astfood_13,Site 1,11,16,0.5
Astfood_10,Site 1,9,17,0.6
Astfood_10,Site 1,13,21,1
Astfood_10,Site 1,5.5,10,0.1
Astfood_10,Site 1,4,9,0.1
Astfood_10,Site 1,8,13,0.4
Astfood_9,Site 1,65,112,37
Astfood_9,Site 1,42,83,17.9
Astfood_9,Site 1,40,70,12
Astfood_9,Site 1,40,66,8.3
Astfood_9,Site 1,5,9,0.1
Astfood_11,Site 1,48,98,26.6
Astfood_11,Site 1,52,96,18.5
Astfood_11,Site 1,8.5,15,0.3
Astfood_11,Site 1,20,30,2
Astfood_12,Site 1,9,19,0.6
Astfood_12,Site 1,10,16,0.4
Astfood_Z_3,Site 1,4,8,0.05
Astfood_17,Site 1,63,113,37.5
Astfood_17,Site 1,45,78,18.9
Astfood_17,Site 1,41,67,11.3
Astfood_15,Site 1,60,101,41.7
Astfood_15,Site 1,22,29,1.4
Astfood_15,Site 1,5,8,0.04
Astfood_15,Site 1,52,93,22.6
Astfood_Z_8,Site 1,60,105,21.6
Astfood_Z_8,Site 1,52,82,16.8
Astfood_Z_8,Site 1,50,86,17.6
Astfood_Z_8,Site 1,40,73,16.5
Astfood_Z_8,Site 1,10,14,0.2
Astfood_Z_8,Site 1,10,18,0.3
Astfood_Z_8,Site 1,14,21,0.9
Astfood_Z_8,Site 1,10,15,0.2
Astfood_Z_6,Site 1,43,84,11.2
Astfood_Z_6,Site 1,50,76,18.3
Astfood_Z_6,Site 1,44,76,15.2
Astfood_Z_6,Site 1,16,26,1.3
Astfood_Z_6,Site 1,14,25,1.1
Astfood_Z_6,Site 1,16,28,2
Astfood_Z_6,Site 1,10,17,0.4
Astfood_Z_6,Site 1,10,19,0.6
